"TABLE_DATABASE","TABLE_ENGLISH_NAME","TABLE_NAME","TABLE_NO","TABLE_TYPE","PARTITION_COL","PRIMARY_KEY_COLS"
"BASE_DATA","TAC_CAP_ACCT","资金账户表","AC001","00","","CUST_NO,CAP_ACCT_NO"
"BASE_DATA","TAC_OF_ACCT","基金账户表","AC003","00","","CUST_NO,TA_CODE,FUND_TX_ACCT_NO"
"BASE_DATA","TAC_SEC_ACCT","证券账户表","AC002","00","","CUST_NO,TX_MARKET_CODE,SEC_ACCT_NO"
"BASE_DATA","TAG_COMPACT_ARP","约定购回合约","AG003","10","BIZ_DATE","COMPACT_NO"
"BASE_DATA","TAG_COMPACT_CRDT","融资融券合约","AG001","10","BIZ_DATE","COMPACT_NO,CLEAR_DATE"
"BASE_DATA","TAG_COMPACT_SRP","股票质押合约","AG002","10","BIZ_DATE","COMPACT_NO"
"BASE_DATA","TAG_CONTRACT_CRDT","融资融券合同","AG101","00","","CONTR_NO"
"BASE_SUM","TAS_ASSET","客户资产汇总表","BS_AS001","10","BIZ_DATE","CUST_NO"
"BASE_DATA","TAS_CAP_BAL","资金表","AS001","10","BIZ_DATE","CAP_ACCT_NO"
"BASE_DATA","TAS_HOLD","证券持仓表","AS101","10","BIZ_DATE","CUST_NO,TX_MARKET_CODE,SEC_ACCT_NO,CIRC_TYPE_CODE,SEC_CODE,SEAT_NO,SHARE_ATTR_CODE"
"BASE_DATA","TAS_HOLD_CRDT","证券持仓表（融资融券）","AS102","10","BIZ_DATE","CUST_NO,TX_MARKET_CODE,SEC_ACCT_NO,CIRC_TYPE_CODE,SEC_CODE,SEAT_NO,SHARE_ATTR_CODE"
"BASE_DATA","TAS_HOLD_OPT","期权合约持仓","AS105","10","BIZ_DATE","TX_DATE,CUST_NO,TX_MARKET_CODE,SEC_ACCT_NO,TX_DIRE_CODE,COVE_FLAG,COMPACT_NO"
"BASE_DATA","TAS_SHARE_OF","基金份额表","AS103","10","BIZ_DATE","CUST_NO,TA_CODE,FUND_TX_ACCT_NO,FUND_CODE,CHARGE_MODE_CODE"
"BASE_DATA","TAS_SHARE_OTC","OTC份额表","AS104","10","BIZ_DATE","CUST_NO,PROD_CODE"
"BASE_DATA","TEV_CAP_JOUR","资金流水表","EV201","10","BIZ_DATE","SEQU_NO,TX_DATE"
"BASE_DATA","TEV_ENTRUST","证券委托表","EV001","10","BIZ_DATE","SEQU_NO,CUST_NO,ENTR_NO"
"BASE_DATA","TEV_ENTRUST_CRDT","委托表（融资融券）","EV002","10","BIZ_DATE","SEQU_NO,TX_DATE"
"BASE_DATA","TEV_ENTRUST_OF","基金委托表","EV003","10","BIZ_DATE","APPLY_NO,TX_DATE"
